LSOA21CD,Childcare accessibility,Childcare accessibility (driving only),Childcare accessibility (public transport only),Childcare accessibility - good or outstanding places (overall)
E01025602,0.367339880490528,0.403609720671719,0.138030903483073,0.176923320232558
E01025603,0.380847479171874,0.397636303733558,0.252362316156537,0.194032902564916
E01025604,0.393503036415803,0.412070651814021,0.327830365226564,0.196447998553179
E01025605,0.205478308771386,0.207074568903779,0.191565749494954,0.132296517964342
E01025606,0.152025455406712,0.166223612087744,0.133951474618681,0.103562358768577
E01025607,0.154096497128065,0.152872259517208,0.159759938058862,0.100734107924078
E01025608,0.192781346792521,0.191049072538651,0.202235783224199,0.124207252427468
E01025609,0.188710200695837,0.190996784620459,0.135029818754596,0.137220101955442
E01025610,0.296036432724805,0.327021860829544,0.153296506676315,0.226167734464577
E01025611,0.317278218173695,0.337625514721603,0.161795916515735,0.239934961994903
E01025612,0.253789051240952,0.286060914018084,0.118441733301032,0.191393148810483
E01025613,0.267192558483779,0.289226971131423,0.123478667521987,0.197637559772425
E01025614,0.268386518815973,0.281707979844804,0.0967261028194913,0.205642136122646
E01025615,0.299480690192542,0.31201870122296,0.102158348928355,0.22565568589544
E01025616,0.202167509076993,0.207086408462863,0.0862455287350062,0.144216537318622
E01025617,0.192632139512456,0.201156398618958,0.0922692318958271,0.140319265522455
E01025618,0.187246026935616,0.201479716840743,0.0968062203389382,0.130831826408159
E01025619,0.192446324802751,0.201098268974736,0.0770090312048021,0.136557468278646
E01025620,0.402854236433485,0.431756442199464,0.161506505835799,0.247616461364096
E01025621,0.354109743652808,0.371162967739091,0.0844047789500764,0.235576478422857
E01025622,0.197474454839823,0.213629983872829,0.124237428878316,0.137031077176691
E01025623,0.258141972524306,0.269987700162544,0.150846233073791,0.187008751188293
E01025624,0.166743676053746,0.171640090228501,0.079297394119415,0.117000675468671
E01025625,0.31829013881799,0.381509583320106,0.11840753004071,0.239593827315367
E01025626,0.403750254958512,0.423710739501011,0.146326269906375,0.298080777723595
E01025627,0.294737590838105,0.314212720055626,0.172030423983639,0.235426597361697
E01025629,0.192228685379532,0.206050017208874,0.119984989952518,0.129983628080481
E01025630,0.185423837588486,0.191876274346679,0.109982504039766,0.129791931798557
E01025631,0.235062095122384,0.248900831298334,0.0989537597043799,0.16523852658252
E01025632,0.336521378933191,0.343624917221831,0.154293885075981,0.242515465495233
E01025633,0.293452547930279,0.310482455764041,0.152685006648297,0.207418737503931
E01025634,0.403110113336321,0.413055302763516,0.208720889396298,0.294739608518655
E01025635,0.304693559940744,0.31382560898631,0.196466104387422,0.21886825632194
E01025636,0.224656036934591,0.266795895873155,0.0920261699363631,0.187689744358269
E01025637,0.225331779732836,0.253863116868032,0.0986349871838556,0.188831403162541
E01025638,0.291924232787326,0.302887837087868,0.156606353327531,0.210988720253645
E01025639,0.26446284126145,0.286275734939793,0.0869915235062974,0.190372031683835
E01025640,0.235114827166251,0.248853572415377,0.137915758083809,0.170680880416735
E01025641,0.308601835617738,0.328802552238039,0.0936368338249962,0.233336940233992
E01025642,0.353300503264825,0.379924271299581,0.204161747944846,0.261898958136315
E01025643,0.339944409442805,0.359420782462394,0.165696358912351,0.242188241320827
E01025644,0.381127122861188,0.395910932244623,0.164897071085663,0.244568657036699
E01025645,0.351623064269977,0.364094794351092,0.130955192195192,0.219650395089944
E01025646,0.309991456463741,0.345422392216105,0.113218016021084,0.243641519357103
E01025647,0.300349657300974,0.347206725886544,0.117583356386059,0.231924171006842
E01025648,0.321029136963977,0.331327214312128,0.132727314300716,0.241642831928171
E01025649,0.352815736079165,0.370226821830662,0.159505089198856,0.257070867838703
E01025650,0.372054487361541,0.3870958336782,0.133006018607968,0.265143936847015
E01025651,0.324899022416912,0.34293817835883,0.119210802528969,0.244593482249971
E01025652,0.190065492923889,0.201746603135075,0.119885365705501,0.163068073231153
E01025653,0.191066422375003,0.20732515233005,0.12279387953809,0.163713706376104
E01025654,0.194940531918985,0.219334121075426,0.0930455695354159,0.165082996586914
E01025655,0.185409164617887,0.194898675235453,0.120659128602786,0.162590446626306
E01025656,0.205958474299136,0.218542402547761,0.119136921128652,0.175799488962304
E01025657,0.194804286266453,0.214961223849419,0.0891336997896637,0.151817794473792
E01025658,0.227803577289163,0.241955983754529,0.0770258601263322,0.179277458002774
E01025659,0.288478039879168,0.31412366717639,0.171200474723105,0.224148785896688
E01025660,0.196678595518672,0.208178167714428,0.0935384656473978,0.155326234889859
E01025661,0.363316387159711,0.376863149029537,0.0384271850144669,0.201123553710349
E01025662,0.36505021679281,0.389872192299294,0.106406006254687,0.197576713030513
E01025663,0.370691572217501,0.409659032952772,0.0530248845108334,0.205354627084588
E01025664,0.331397726864405,0.350911396674814,0.0824530695285132,0.185007198093123
E01025665,0.354413293262122,0.376328540606277,0.108776639321495,0.194785355713081
E01025666,0.261698066721927,0.300380298791949,0.114446181996731,0.190218958726507
E01025667,0.203372667153999,0.220026835554676,0.105762427425626,0.159997675209364
E01025668,0.22483608290366,0.23585434894253,0.100492659201383,0.152458911108723
E01025669,0.271166368189713,0.276503611328842,0.186951048481555,0.188137630411316
E01025670,0.115281957490255,0.129186806134376,0.0524968919982486,0.0887615582213384
E01025671,0.171377600235884,0.179543102020635,0.0925325961816319,0.134140175509542
E01025672,0.158638958939859,0.171726123758643,0.0577287721570044,0.124145450556173
